#############
#	POWER	#
#############
@pbss_common_corvette_reactor_power_1 = 150
@pbss_common_corvette_reactor_power_2 = 200
@pbss_common_corvette_reactor_power_3 = 260
@pbss_common_corvette_reactor_power_4 = 340
@pbss_common_corvette_reactor_power_5 = 440
@pbss_common_corvette_reactor_power_6 = 570
@pbss_common_destroyer_reactor_power_1 = 280
@pbss_common_destroyer_reactor_power_2 = 360
@pbss_common_destroyer_reactor_power_3 = 480
@pbss_common_destroyer_reactor_power_4 = 640
@pbss_common_destroyer_reactor_power_5 = 860
@pbss_common_destroyer_reactor_power_6 = 1100
@pbss_common_cruiser_reactor_power_1 = 560
@pbss_common_cruiser_reactor_power_2 = 720
@pbss_common_cruiser_reactor_power_3 = 960
@pbss_common_cruiser_reactor_power_4 = 1280
@pbss_common_cruiser_reactor_power_5 = 1600
@pbss_common_cruiser_reactor_power_6 = 2060
@pbss_common_battleship_reactor_power_1 = 1100
@pbss_common_battleship_reactor_power_2 = 1440
@pbss_common_battleship_reactor_power_3 = 1920
@pbss_common_battleship_reactor_power_4 = 2560
@pbss_common_battleship_reactor_power_5 = 3200
@pbss_common_battleship_reactor_power_6 = 4120
@pbss_common_titan_reactor_power_1 = 2200
@pbss_common_titan_reactor_power_2 = 2900
@pbss_common_titan_reactor_power_3 = 3800
@pbss_common_titan_reactor_power_4 = 5120
@pbss_common_titan_reactor_power_5 = 6400
@pbss_common_titan_reactor_power_6 = 8240
@pbss_common_juggernaut_reactor_power_1 = 7700
@pbss_common_juggernaut_reactor_power_2 = 10000
@pbss_common_juggernaut_reactor_power_3 = 13000
@pbss_common_juggernaut_reactor_power_4 = 16920
@pbss_common_juggernaut_reactor_power_5 = 22000
@pbss_common_juggernaut_reactor_power_6 = 28600
@pbss_common_colossus_power = 20000
@pbss_common_starbase_reactor_power_1 = 3750
@pbss_common_starbase_reactor_power_2 = 5000
@pbss_common_starbase_reactor_power_3 = 6500
@pbss_common_starbase_reactor_power_4 = 8500
@pbss_common_starbase_reactor_power_5 = 11000
@pbss_common_starbase_reactor_power_6 = 14250
@pbss_common_platform_reactor_power_1 = 400
@pbss_common_platform_reactor_power_2 = 520
@pbss_common_platform_reactor_power_3 = 680
@pbss_common_platform_reactor_power_4 = 880
@pbss_common_platform_reactor_power_5 = 1100
@pbss_common_platform_reactor_power_6 = 1425
#############
#	COST	#
#############
@pbss_common_corvette_reactor_cost_1 = 20
@pbss_common_corvette_reactor_cost_2 = 26
@pbss_common_corvette_reactor_cost_3 = 34
@pbss_common_corvette_reactor_cost_4 = 44
@pbss_common_corvette_reactor_cost_5 = 56
@pbss_common_corvette_reactor_cost_6 = 74
@pbss_common_destroyer_reactor_cost_1 = 40
@pbss_common_destroyer_reactor_cost_2 = 52
@pbss_common_destroyer_reactor_cost_3 = 68
@pbss_common_destroyer_reactor_cost_4 = 88
@pbss_common_destroyer_reactor_cost_5 = 112
@pbss_common_destroyer_reactor_cost_6 = 148
@pbss_common_cruiser_reactor_cost_1 = 80
@pbss_common_cruiser_reactor_cost_2 = 104
@pbss_common_cruiser_reactor_cost_3 = 136
@pbss_common_cruiser_reactor_cost_4 = 176
@pbss_common_cruiser_reactor_cost_5 = 224
@pbss_common_cruiser_reactor_cost_6 = 296
@pbss_common_battleship_reactor_cost_1 = 160
@pbss_common_battleship_reactor_cost_2 = 208
@pbss_common_battleship_reactor_cost_3 = 272
@pbss_common_battleship_reactor_cost_4 = 352
@pbss_common_battleship_reactor_cost_5 = 448
@pbss_common_battleship_reactor_cost_6 = 592
@pbss_common_titan_reactor_cost_1 = 320
